flgs,proto,dport,pkts,bytes,state,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,unknown,subcategory
e,tcp,1883,6,662,RST,0.000256,0.000256,0,0.000256,0.000256,0.000256,3,3,456,206,19531.25,7812.5,7812.5,1,0,Service_Scan
e,tcp,42007,2,120,RST,0.011308,0.011308,0,0.011308,0.011308,0.011308,1,1,60,60,88.432968,0,0,1,0,Service_Scan
e,tcp,49683,2,120,RST,0.017103,0.017103,0,0.017103,0.017103,0.017103,1,1,60,60,58.469276,0,0,1,0,Service_Scan
e,tcp,43895,2,120,RST,0.001232,0.001232,0,0.001232,0.001232,0.001232,1,1,60,60,811.688354,0,0,1,0,Service_Scan
e,tcp,23778,2,120,RST,0.025495,0.025495,0,0.025495,0.025495,0.025495,1,1,60,60,39.223377,0,0,1,0,Service_Scan
e,tcp,39886,2,120,RST,0.034936,0.034936,0,0.034936,0.034936,0.034936,1,1,60,60,28.62377,0,0,1,0,Service_Scan
e,icmp,0,1,70,URP,0,0,0,0,0,0,1,0,70,0,0,0,0,1,0,Service_Scan
e,tcp,48381,2,120,RST,0.010499,0.010499,0,0.010499,0.010499,0.010499,1,1,60,60,95.247169,0,0,1,0,Service_Scan
e,tcp,46793,2,120,RST,0.033284,0.033284,0,0.033284,0.033284,0.033284,1,1,60,60,30.044464,0,0,1,0,Service_Scan
e,tcp,9009,2,134,RST,0.001387,0.001387,0,0.001387,0.001387,0.001387,1,1,74,60,720.98053,0,0,1,0,Service_Scan
e,tcp,2982,2,120,RST,0.000014,0.000014,0,0.000014,0.000014,0.000014,1,1,60,60,71428.5703,0,0,1,0,Service_Scan
e,tcp,23853,2,120,RST,0.026358,0.026358,0,0.026358,0.026358,0.026358,1,1,60,60,37.939148,0,0,1,0,Service_Scan
e g,tcp,80,18,2963,RST,108.952545,0.002035,0.001771,0.00407,0.000264,0.003806,10,8,1443,1520,0.156031,0.082605,0.064248,1,0,Service_Scan
e,tcp,14707,2,120,RST,0.020174,0.020174,0,0.020174,0.020174,0.020174,1,1,60,60,49.568752,0,0,1,0,Service_Scan
e s,tcp,954,6,360,RST,2.015233,2.015233,0,2.015233,2.015233,2.015233,5,1,300,60,2.481103,1.984882,0,1,0,Service_Scan
e,tcp,3306,13,1113,FIN,0.198723,0.198723,0,0.198723,0.198723,0.198723,7,6,532,581,60.385559,30.19278,25.16065,1,0,Service_Scan
e,tcp,57805,2,120,RST,0.053235,0.053235,0,0.053235,0.053235,0.053235,1,1,60,60,18.784634,0,0,1,0,Service_Scan
e,tcp,36067,2,120,RST,0.035549,0.035549,0,0.035549,0.035549,0.035549,1,1,60,60,28.130186,0,0,1,0,Service_Scan
e,tcp,4338,2,120,RST,0.014657,0.014657,0,0.014657,0.014657,0.014657,1,1,60,60,68.226784,0,0,1,0,Service_Scan
e,tcp,3822,2,120,RST,0.000029,0.000029,0,0.000029,0.000029,0.000029,1,1,60,60,34482.7578,0,0,1,0,Service_Scan
e,tcp,41177,2,120,RST,0.009622,0.009622,0,0.009622,0.009622,0.009622,1,1,60,60,103.928497,0,0,1,0,Service_Scan
e,tcp,11877,2,120,RST,0.000077,0.000077,0,0.000077,0.000077,0.000077,1,1,60,60,12987.0137,0,0,1,0,Service_Scan
e,tcp,41739,2,120,RST,0.001081,0.001081,0,0.001081,0.001081,0.001081,1,1,60,60,925.069397,0,0,1,0,Service_Scan
e,tcp,32385,2,120,RST,0.049859,0.049859,0,0.049859,0.049859,0.049859,1,1,60,60,20.056561,0,0,1,0,Service_Scan
e,tcp,37468,2,120,RST,0.013524,0.013524,0,0.013524,0.013524,0.013524,1,1,60,60,73.942619,0,0,1,0,Service_Scan
e,tcp,1,2,120,RST,0.000064,0.000064,0,0.000064,0.000064,0.000064,1,1,60,60,15625,0,0,1,0,Service_Scan
e,tcp,1883,6,662,RST,0.000141,0.000141,0,0.000141,0.000141,0.000141,3,3,456,206,35460.9922,14184.3975,14184.3975,1,0,Service_Scan
e,icmp,0,1,70,URP,0,0,0,0,0,0,1,0,70,0,0,0,0,1,0,Service_Scan
e,tcp,43666,2,120,RST,0.017815,0.017815,0,0.017815,0.017815,0.017815,1,1,60,60,56.132473,0,0,1,0,Service_Scan
e,tcp,21151,2,120,RST,0.039061,0.039061,0,0.039061,0.039061,0.039061,1,1,60,60,25.600985,0,0,1,0,Service_Scan
e,tcp,39831,2,120,RST,0.02461,0.02461,0,0.02461,0.02461,0.02461,1,1,60,60,40.633888,0,0,1,0,Service_Scan
e,tcp,22514,2,120,RST,0.019585,0.019585,0,0.019585,0.019585,0.019585,1,1,60,60,51.059483,0,0,1,0,Service_Scan
e,tcp,8038,2,120,RST,0.042371,0.042371,0,0.042371,0.042371,0.042371,1,1,60,60,23.601048,0,0,1,0,Service_Scan
e,tcp,59931,2,120,RST,0.014115,0.014115,0,0.014115,0.014115,0.014115,1,1,60,60,70.846619,0,0,1,0,Service_Scan
e,udp,38,1,60,INT,0,0,0,0,0,0,1,0,60,0,0,0,0,1,0,Service_Scan
e,tcp,48148,2,120,RST,0.017645,0.017645,0,0.017645,0.017645,0.017645,1,1,60,60,56.673279,0,0,1,0,Service_Scan
e,tcp,16836,2,120,RST,0.033002,0.033002,0,0.033002,0.033002,0.033002,1,1,60,60,30.301193,0,0,1,0,Service_Scan
e,tcp,6064,2,120,RST,0.000061,0.000061,0,0.000061,0.000061,0.000061,1,1,60,60,16393.4434,0,0,1,0,Service_Scan
e,tcp,6785,2,120,RST,0.01892,0.01892,0,0.01892,0.01892,0.01892,1,1,60,60,52.854122,0,0,1,0,Service_Scan
e,tcp,12807,2,120,RST,0.046826,0.046826,0,0.046826,0.046826,0.046826,1,1,60,60,21.355656,0,0,1,0,Service_Scan
e,tcp,19,2,120,RST,0.00013,0.00013,0,0.00013,0.00013,0.00013,1,1,60,60,7692.30762,0,0,1,0,Service_Scan
e g,tcp,80,19,3290,RST,88.717903,0.000714,0.000478,0.001429,0.000237,0.001192,11,8,1770,1520,0.20289,0.112717,0.078902,1,0,Service_Scan
e,tcp,35630,2,120,RST,0.017697,0.017697,0,0.017697,0.017697,0.017697,1,1,60,60,56.506748,0,0,1,0,Service_Scan
e,tcp,16296,2,120,RST,0.06091,0.06091,0,0.06091,0.06091,0.06091,1,1,60,60,16.417665,0,0,1,0,Service_Scan
e,tcp,59561,2,120,RST,0.009923,0.009923,0,0.009923,0.009923,0.009923,1,1,60,60,100.775978,0,0,1,0,Service_Scan
e,tcp,1883,6,662,RST,0.000159,0.000159,0,0.000159,0.000159,0.000159,3,3,456,206,31446.541,12578.6162,12578.6162,1,0,Service_Scan
e,tcp,5197,2,120,RST,0.000044,0.000044,0,0.000044,0.000044,0.000044,1,1,60,60,22727.2734,0,0,1,0,Service_Scan
e,tcp,43610,2,120,RST,0.034047,0.034047,0,0.034047,0.034047,0.034047,1,1,60,60,29.371162,0,0,1,0,Service_Scan
e,tcp,11018,2,120,RST,0.051338,0.051338,0,0.051338,0.051338,0.051338,1,1,60,60,19.47875,0,0,1,0,Service_Scan
e,tcp,25944,2,120,RST,0.051847,0.051847,0,0.051847,0.051847,0.051847,1,1,60,60,19.287519,0,0,1,0,Service_Scan
e,tcp,7109,2,120,RST,0.000295,0.000295,0,0.000295,0.000295,0.000295,1,1,60,60,3389.83057,0,0,1,0,Service_Scan
e,tcp,5696,2,120,RST,0.049296,0.049296,0,0.049296,0.049296,0.049296,1,1,60,60,20.285622,0,0,1,0,Service_Scan
e,tcp,50929,2,120,RST,0.016615,0.016615,0,0.016615,0.016615,0.016615,1,1,60,60,60.186581,0,0,1,0,Service_Scan
e,tcp,2360,2,120,RST,0.010064,0.010064,0,0.010064,0.010064,0.010064,1,1,60,60,99.364067,0,0,1,0,Service_Scan
e,tcp,29187,2,120,RST,0.023146,0.023146,0,0.023146,0.023146,0.023146,1,1,60,60,43.20401,0,0,1,0,Service_Scan
e,tcp,30392,2,120,RST,0.059069,0.059069,0,0.059069,0.059069,0.059069,1,1,60,60,16.929354,0,0,1,0,Service_Scan
e,icmp,0,1,70,URP,0,0,0,0,0,0,1,0,70,0,0,0,0,1,0,Service_Scan
e,tcp,64728,2,120,RST,0.000005,0.000005,0,0.000005,0.000005,0.000005,1,1,60,60,200000,0,0,1,0,Service_Scan
e,tcp,752,2,120,RST,0.047563,0.047563,0,0.047563,0.047563,0.047563,1,1,60,60,21.024746,0,0,1,0,Service_Scan
e,tcp,80,9,1615,RST,0.000612,0.000612,0,0.000612,0.000612,0.000612,5,4,855,760,13071.8955,6535.94775,4901.96094,1,0,Service_Scan
e,tcp,62974,2,120,RST,0.041265,0.041265,0,0.041265,0.041265,0.041265,1,1,60,60,24.233612,0,0,1,0,Service_Scan
eU,udp,47808,1,60,INT,0.000045,0.000045,0,0.000045,0.000045,0.000045,1,0,60,0,0,0,0,1,0,Service_Scan
e,tcp,7095,2,120,RST,0.03674,0.03674,0,0.03674,0.03674,0.03674,1,1,60,60,27.21829,0,0,1,0,Service_Scan
e,tcp,5255,2,120,RST,0.041504,0.041504,0,0.041504,0.041504,0.041504,1,1,60,60,24.094063,0,0,1,0,Service_Scan
e,tcp,1883,6,662,RST,0.000118,0.000118,0,0.000118,0.000118,0.000118,3,3,456,206,42372.8789,16949.1523,16949.1523,1,0,Service_Scan
eU,udp,24594,1,60,INT,0.000061,0.000061,0,0.000061,0.000061,0.000061,1,0,60,0,0,0,0,1,0,Service_Scan
e,tcp,11003,2,120,RST,0.031185,0.031185,0,0.031185,0.031185,0.031185,1,1,60,60,32.0667,0,0,1,0,Service_Scan
e,tcp,26823,2,120,RST,0.017659,0.017659,0,0.017659,0.017659,0.017659,1,1,60,60,56.628349,0,0,1,0,Service_Scan
e,tcp,700,2,134,RST,0.000016,0.000016,0,0.000016,0.000016,0.000016,1,1,74,60,62500,0,0,1,0,Service_Scan
e,tcp,16965,2,120,RST,0.009529,0.009529,0,0.009529,0.009529,0.009529,1,1,60,60,104.942802,0,0,1,0,Service_Scan
e,tcp,45279,2,120,RST,0.04582,0.04582,0,0.04582,0.04582,0.04582,1,1,60,60,21.82453,0,0,1,0,Service_Scan
e,tcp,64558,2,120,RST,0.034612,0.034612,0,0.034612,0.034612,0.034612,1,1,60,60,28.891714,0,0,1,0,Service_Scan
e,tcp,5810,2,120,RST,0.00028,0.00028,0,0.00028,0.00028,0.00028,1,1,60,60,3571.42847,0,0,1,0,Service_Scan
e,tcp,33644,2,120,RST,0.036819,0.036819,0,0.036819,0.036819,0.036819,1,1,60,60,27.159891,0,0,1,0,Service_Scan
e,tcp,39168,2,120,RST,0.031681,0.031681,0,0.031681,0.031681,0.031681,1,1,60,60,31.564659,0,0,1,0,Service_Scan
e,icmp,0,1,70,URP,0,0,0,0,0,0,1,0,70,0,0,0,0,1,0,Service_Scan
e,tcp,80,9,1615,RST,0.002011,0.002011,0,0.002011,0.002011,0.002011,5,4,855,760,3978.12036,1989.06018,1491.79517,1,0,Service_Scan
e,tcp,46052,2,120,RST,0.039344,0.039344,0,0.039344,0.039344,0.039344,1,1,60,60,25.416836,0,0,1,0,Service_Scan
