saddr,src_socket,sport,daddr,dport,proto,stime,ltime,dur,flgs,state,pkts,spkts,dpkts,bytes,sbytes,dbytes,rate,srate,drate,mean,stddev,sum,min,max,attack,category,subcategory
192.168.100.3,192.168.100.380,80,192.168.100.55,8080,tcp,1526344032,1526345717,1685.70691,e &,CON,59453,29727,29726,60884536,28717341,32167195,35.268291,17.634146,17.633553,4.947914,0.228494,1662.49915,0.768694,4.999863,0,Normal,Normal
192.168.100.46,192.168.100.463456,3456,192.168.100.5,80,udp,1526344032,1526345717,1685.70691,e,CON,59452,29726,29726,59114121,30347258,28766863,35.267696,17.633553,17.633553,4.947584,0.231615,1662.38806,0.710969,4.999863,0,Normal,Normal
192.168.100.46,192.168.100.4680,80,192.168.100.5,80,udp,1526344032,1526345717,1685.70691,e,INT,29726,29726,0,28543568,28543568,0,17.633553,17.633553,0,4.947334,0.231518,1662.30432,0.710964,4.991788,0,Normal,Normal
192.168.100.46,192.168.100.4680,80,192.168.100.5,80,tcp,1526344032,1526345717,1685.70691,e,CON,30157,30157,0,28898696,28898696,0,17.889231,17.889231,0,4.947345,0.231582,1662.30798,0.710952,4.991786,0,Normal,Normal
192.168.100.6,192.168.100.680,80,192.168.100.3,80,tcp,1526344032,1526345718,1686.12219,e,CON,10056,10056,0,2976576,2976576,0,5.963387,5.963387,0,4.832168,0.230037,1623.60852,0.655978,4.999866,0,Normal,Normal
192.168.100.7,192.168.100.7365,365,192.168.100.3,565,udp,1526344032,1526345718,1685.97327,e,INT,16326,16326,0,979560,979560,0,9.682835,9.682835,0,4.893885,0.231947,1644.34522,0.655978,4.999755,0,Normal,Normal
192.168.100.5,192.168.100.50,0,192.168.100.3,0,tcp,1526344032,1526345718,1685.80896,e,CON,18431,18431,0,17131488,17131488,0,10.932437,10.932437,0,4.898582,0.235357,1645.92334,0.598172,4.999866,0,Normal,Normal
192.168.100.3,192.168.100.359552,59552,13.55.154.73,8883,tcp,1526344033,1526345712,1679.58899,e,CON,3018,1509,1509,682915,583321,99594,1.796273,0.897839,0.897839,3.947982,1.272364,1314.67786,1.51683,4.999982,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.3,,arp,1526344121,1526345317,1195.99658,e,CON,4,2,2,240,120,120,0.002508,0.000836,0.000836,0.000006,0.000002,0.000011,0.000004,0.000007,0,Normal,Normal
192.168.100.7,192.168.100.7139,139,192.168.100.4,36390,tcp,1526344223,1526345677,1453.94592,e,CON,10,5,5,680,350,330,0.00619,0.002751,0.002751,0.000028,0.000008,0.000138,0.000022,0.000042,0,Normal,Normal
192.168.100.149,192.168.100.14951838,51838,27.124.125.250,123,udp,1526344227,1526344227,0.048565,e,CON,2,1,1,180,90,90,20.59096,0,0,0.048565,0,0.048565,0.048565,0.048565,0,Normal,Normal
192.168.100.4,192.168.100.4,,192.168.100.7,,arp,1526344228,1526345682,1454.08032,e,CON,10,5,5,510,210,300,0.006189,0.002751,0.002751,0.000238,0.000022,0.001189,0.000199,0.000261,0,Normal,Normal
192.168.100.149,192.168.100.149,,192.168.100.1,,arp,1526344232,1526345486,1253.63269,e,CON,6,3,3,360,180,180,0.003988,0.001595,0.001595,0.000144,0.000026,0.000432,0.000115,0.000179,0,Normal,Normal
192.168.100.27,192.168.100.2758999,58999,192.168.100.1,53,udp,1526344303,1526344873,569.93396,e,CON,4,2,2,630,174,456,0.005264,0.001755,0.001755,0.098505,0.08015,0.197011,0.018356,0.178655,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.27,,arp,1526344303,1526344303,0.000367,e,CON,2,1,1,120,60,60,2724.79565,0,0,0.000367,0,0.000367,0.000367,0.000367,0,Normal,Normal
192.168.100.27,192.168.100.27,,192.168.100.1,,arp,1526344308,1526344878,569.855957,e,CON,4,2,2,240,120,120,0.005264,0.001755,0.001755,0.000122,0.000025,0.000243,0.000097,0.000146,0,Normal,Normal
