BKS_Combiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	96.7711%	74.7274%	74.4235%	70.0531%	0.0000%	79.5950%
Fold_2	96.7991%	73.5164%	82.4650%	69.3181%	0.0000%	79.4024%
Fold_3	96.6209%	75.6251%	78.6472%	71.0240%	0.0000%	81.5612%
Fold_4	96.7834%	68.8456%	75.9719%	71.0602%	0.0000%	73.6116%
Fold_5	95.1929%	73.8535%	64.9065%	65.4713%	0.0000%	76.5534%
Fold_6	96.7223%	77.6970%	77.5971%	70.5673%	63.2827%	85.0510%
Fold_7	96.6066%	79.7744%	74.1455%	71.8433%	67.4965%	86.6301%
Fold_8	96.3190%	75.1903%	70.0969%	66.1308%	0.0000%	78.1341%
Fold_9	96.8283%	79.3541%	77.7752%	73.3855%	0.0000%	83.9219%
Fold_10	96.0939%	79.0643%	72.9847%	71.4977%	0.0000%	84.0264%
Macro_total	96.4738% (+/- 0.4822%)	75.7648% (+/- 3.1873%)	74.9014% (+/- 4.6407%)	70.0351% (+/- 2.3565%)	13.0779% (+/- 26.1728%)	80.8487% (+/- 3.9114%)
