BKS_Combiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_2	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_3	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_4	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_5	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_6	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_7	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_8	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_9	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Fold_10	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%	0.0000%
Macro_total	0.0000% (+/- 0.0000%)	0.0000% (+/- 0.0000%)	0.0000% (+/- 0.0000%)	0.0000% (+/- 0.0000%)	0.0000% (+/- 0.0000%)	0.0000% (+/- 0.0000%)
