Decision_Template_Combiner_10Fold	c=0.000000	c=0.100000	c=0.200000	c=0.300000	c=0.400000	c=0.500000	c=0.600000	c=0.700000	c=0.800000	c=0.900000	
Fold_1_filtered_accuracy	90.9858	90.9858	90.9858	90.9858	90.9858	90.9886	91.0454	91.2396	91.7321	90.5116
Fold_1_filtered_F-measure	74.5038	74.5038	74.5038	74.5038	74.5038	74.5045	74.5840	74.4977	73.0953	71.1590
Fold_1_filtered_g-mean	74.3139	74.3139	74.3139	74.3139	74.3139	74.3144	74.3640	74.1011	76.6089	78.2354
Fold_1_filtered_macro_g-mean	87.0853	87.0853	87.0853	87.0853	87.0853	87.0857	87.1138	87.0166	88.3844	83.4817
Fold_1_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9969	99.8985	99.1175	88.5850	52.9420
Fold_2_filtered_accuracy	93.5143	93.5143	93.5143	93.5143	93.5143	93.5142	93.5488	93.8070	95.6260	97.5379
Fold_2_filtered_F-measure	66.3279	66.3279	66.3279	66.3279	66.3279	66.3279	66.3819	66.6436	74.5461	76.4846
Fold_2_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.9666	0.0000
Fold_2_filtered_macro_g-mean	82.9791	82.9791	82.9791	82.9791	82.9791	82.9791	82.9846	83.0543	91.1282	87.3974
Fold_2_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9984	99.8813	99.5048	85.4947	55.5766
Fold_3_filtered_accuracy	94.6702	94.6702	94.6702	94.6702	94.6702	94.6804	94.7543	94.8698	95.1742	96.3323
Fold_3_filtered_F-measure	74.6249	74.6249	74.6249	74.6249	74.6249	74.6519	74.7415	74.7512	74.8818	75.6988
Fold_3_filtered_g-mean	78.4777	78.4777	78.4777	78.4777	78.4777	78.4888	80.0052	79.6412	0.0000	0.0000
Fold_3_filtered_macro_g-mean	89.2464	89.2464	89.2464	89.2464	89.2464	89.2536	89.9885	89.8668	86.4856	86.6725
Fold_3_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9859	99.9047	99.5361	82.8001	71.2518
Fold_4_filtered_accuracy	94.7264	94.7264	94.7264	94.7264	94.7264	94.7412	94.7778	94.9938	95.4101	97.2793
Fold_4_filtered_F-measure	72.4218	72.4218	72.4218	72.4218	72.4218	72.4623	72.5550	75.5346	75.1405	75.8211
Fold_4_filtered_g-mean	77.4788	77.4788	77.4788	77.4788	77.4788	77.4812	77.5081	77.5296	0.0000	0.0000
Fold_4_filtered_macro_g-mean	88.6534	88.6534	88.6534	88.6534	88.6534	88.6553	88.6733	88.7204	84.0629	79.8613
Fold_4_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9844	99.9375	99.2877	82.3937	68.6693
Fold_5_filtered_accuracy	92.7128	92.7128	92.7128	92.7128	92.7126	92.7190	92.7646	93.1249	93.4618	92.3930
Fold_5_filtered_F-measure	73.8946	73.8946	73.8946	73.8946	73.8946	73.9164	74.0003	74.8988	75.8285	74.5717
Fold_5_filtered_g-mean	80.4075	80.4075	80.4075	80.4075	80.4075	0.0000	0.0000	0.0000	84.1403	81.2404
Fold_5_filtered_macro_g-mean	90.1507	90.1507	90.1507	90.1507	90.1507	85.5127	85.5650	85.4404	86.1343	85.0105
Fold_5_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9984	99.9781	99.9172	99.2924	83.4307	57.0467
Fold_6_filtered_accuracy	93.7265	93.7265	93.7265	93.7265	93.7265	93.7394	93.9517	94.0962	93.9605	96.8516
Fold_6_filtered_F-measure	73.7561	73.7561	73.7561	73.7561	73.7561	73.7636	74.6685	74.7628	74.7985	74.0731
Fold_6_filtered_g-mean	79.7474	79.7474	79.7474	79.7474	79.7474	79.7494	79.9365	0.0000	82.7306	0.0000
Fold_6_filtered_macro_g-mean	89.8598	89.8598	89.8598	89.8598	89.8598	89.8614	89.9643	85.3147	85.3349	77.8996
Fold_6_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9813	99.7469	99.1986	84.2428	71.6457
Fold_7_filtered_accuracy	93.7403	93.7403	93.7403	93.7403	93.7403	93.7433	93.7649	93.8357	94.6833	97.4548
Fold_7_filtered_F-measure	72.6870	72.6870	72.6870	72.6870	72.6870	72.6939	72.7345	72.3611	73.5171	78.9216
Fold_7_filtered_g-mean	80.8698	80.8698	80.8698	80.8698	80.8698	80.8803	80.9042	79.9262	0.0000	0.0000
Fold_7_filtered_macro_g-mean	90.4664	90.4664	90.4664	90.4664	90.4664	90.4729	90.4880	90.1325	80.1728	83.0038
Fold_7_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9969	99.9688	99.5954	85.0030	64.0776
Fold_8_filtered_accuracy	88.2392	88.2392	88.2392	88.2392	88.2392	88.2390	88.3309	88.4009	87.1450	97.1017
Fold_8_filtered_F-measure	71.3552	71.3552	71.3552	71.3552	71.3552	71.3244	71.3955	70.6225	71.4416	75.4928
Fold_8_filtered_g-mean	79.0547	79.0547	79.0547	79.0547	79.0547	79.0379	79.0810	77.0123	76.9045	0.0000
Fold_8_filtered_macro_g-mean	89.5247	89.5247	89.5247	89.5247	89.5247	89.5150	89.5448	88.8934	88.8097	80.2338
Fold_8_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9984	99.8891	99.6032	80.7574	64.4144
Fold_9_filtered_accuracy	89.8794	89.8794	89.8794	89.8794	89.8794	89.8805	89.9159	90.0266	90.0850	93.6000
Fold_9_filtered_F-measure	73.5830	73.5830	73.5830	73.5830	73.5830	73.5830	73.7013	73.7997	74.0825	70.3153
Fold_9_filtered_g-mean	80.2831	80.2831	80.2831	80.2831	80.2831	80.2832	80.2903	78.6474	82.8748	0.0000
Fold_9_filtered_macro_g-mean	90.0106	90.0106	90.0106	90.0106	90.0106	90.0107	90.0159	89.2976	91.5306	81.3629
Fold_9_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9953	99.9125	99.3610	85.8752	56.5851
Fold_10_filtered_accuracy	88.4936	88.4936	88.4936	88.4936	88.4936	88.4957	88.5521	89.0168	88.7201	94.0037
Fold_10_filtered_F-measure	72.5173	72.5173	72.5173	72.5173	72.5173	72.4630	72.5828	74.2293	75.8733	74.2261
Fold_10_filtered_g-mean	79.8979	79.8979	79.8979	79.8979	79.8979	79.7896	79.8009	79.6908	80.5745	0.0000
Fold_10_filtered_macro_g-mean	89.8842	89.8842	89.8842	89.8842	89.8842	89.8431	89.8518	89.8324	90.3475	86.3154
Fold_10_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	100.0000	99.9906	99.8969	99.2017	83.9192	52.1607
Macro_total_filtered_accuracy	92.0688	2.3514	92.0688	2.3514	92.0688	2.3514	92.0688	2.3514	92.0688	2.3514	92.0741	2.3550	92.1406	2.3583	92.3411	2.3378	92.5998	2.8723	95.3066	2.3714
Macro_total_filtered_F-measure	72.5671	2.2941	72.5671	2.2941	72.5671	2.2941	72.5671	2.2941	72.5671	2.2941	72.5691	2.2999	72.7345	2.3649	73.2101	2.5811	74.3205	1.2823	74.6764	2.3724
Average_total_filtered_g-mean	71.0531	23.7540	71.0531	23.7540	71.0531	23.7540	71.0531	23.7540	71.0531	23.7540	63.0025	31.5495	63.1890	31.6444	54.6549	35.8164	56.5800	37.1123	15.9476	31.9022
Average_total_filtered_macro_g-mean	88.7861	2.1432	88.7861	2.1432	88.7861	2.1432	88.7861	2.1432	88.7861	2.1432	88.3190	2.2920	88.4190	2.3334	87.7569	2.3019	87.2391	3.3529	83.1239	3.0681
Macro_total_filtered_classified_ratio	100.0000	0.0000	100.0000	0.0000	100.0000	0.0000	100.0000	0.0000	99.9998	0.0005	99.9906	0.0073	99.8953	0.0550	99.3698	0.1689	84.2502	2.0513	61.4370	7.0998
