Decision_Template_Combiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	90.9858%	78.0391%	78.6001%	74.5038%	74.3139%	87.0853%
Fold_2	93.5143%	75.4599%	65.6843%	66.3279%	0.0000%	82.9791%
Fold_3	94.6702%	81.4110%	75.8292%	74.6249%	78.4777%	89.2464%
Fold_4	94.7264%	80.3500%	73.6816%	72.4218%	77.4788%	88.6534%
Fold_5	92.7128%	82.8781%	75.4157%	73.8946%	80.4075%	90.1507%
Fold_6	93.7265%	82.4932%	76.8661%	73.7561%	79.7474%	89.8598%
Fold_7	93.7403%	83.4819%	73.3736%	72.6870%	80.8698%	90.4664%
Fold_8	88.2392%	82.4641%	75.5342%	71.3552%	79.0547%	89.5247%
Fold_9	89.8794%	82.9029%	78.4255%	73.5830%	80.2831%	90.0106%
Fold_10	88.4936%	82.7626%	74.4410%	72.5173%	79.8979%	89.8842%
Macro_total	92.0688% (+/- 2.3514%)	81.2243% (+/- 2.4563%)	74.7851% (+/- 3.4690%)	72.5671% (+/- 2.2941%)	71.0531% (+/- 23.7540%)	88.7861% (+/- 2.1432%)
