Decision_Template_Combiner_10Fold	K=1	K=3	K=5	K=7	K=10	
Fold_1	90.9858	98.1162	98.6379	99.7282	99.9422
Fold_2	93.5143	97.8834	99.5970	99.7829	99.9000
Fold_3	94.6702	97.8084	99.1924	99.5986	99.9328
Fold_4	94.7264	97.1929	99.3892	99.7844	99.9219
Fold_5	92.7128	98.1270	99.2955	99.8375	99.9641
Fold_6	93.7265	97.1522	98.9674	99.6110	99.9235
Fold_7	93.7403	98.1082	99.6282	99.8860	99.9656
Fold_8	88.2392	98.6080	99.5938	99.8000	99.9422
Fold_9	89.8794	98.5564	99.3063	99.6438	99.9531
Fold_10	88.4936	98.3158	99.3610	99.7297	99.9563
Macro_total	92.0688	2.3514	97.9869	0.4732	99.2969	0.2923	99.7402	0.0919	99.9402	0.0198
