Decision_Template_Combiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	90.8601%	77.9608%	0.7796%	73.3564%	76.3010%	87.7797%
Fold_2	93.4940%	72.3614%	0.7236%	73.1173%	81.4474%	90.6368%
Fold_3	94.6549%	75.9846%	0.7598%	74.7674%	78.6835%	89.6371%
Fold_4	94.7331%	76.1937%	0.7619%	74.0687%	79.6655%	89.6954%
Fold_5	92.6646%	75.9964%	0.7600%	74.3614%	80.0099%	89.7897%
Fold_6	93.7673%	75.9915%	0.7599%	72.8043%	78.6369%	89.0534%
Fold_7	93.5880%	71.8797%	0.7188%	72.3175%	82.4458%	91.0639%
Fold_8	88.1072%	74.0847%	0.7408%	70.5310%	78.3446%	89.0207%
Fold_9	89.6892%	78.8626%	0.7886%	73.7343%	79.9849%	89.6350%
Fold_10	88.7358%	74.4069%	0.7441%	71.9318%	80.0474%	89.6286%
Macro_total	92.0294% (+/- 2.3511%)	75.3722% (+/- 2.1109%)	0.7537% (+/- 0.0211%)	73.0990% (+/- 1.2018%)	79.5567% (+/- 1.6199%)	89.5940% (+/- 0.8493%)
