MajorityVotingCombiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	94.7970%	78.7748%	76.8325%	77.1093%	73.7603%	87.2276%
Fold_2	95.1311%	80.7489%	80.8301%	79.6375%	76.5693%	88.5879%
Fold_3	95.7512%	74.3922%	70.6159%	71.0704%	0.0000%	82.2421%
Fold_4	94.7123%	78.0074%	76.2821%	75.9190%	0.0000%	84.2698%
Fold_5	94.5998%	81.9888%	74.6044%	76.2022%	76.7496%	89.0940%
Fold_6	95.0543%	77.0760%	78.7313%	74.3949%	68.5314%	85.4734%
Fold_7	93.7310%	80.7488%	73.2143%	74.8796%	74.7794%	88.2147%
Fold_8	95.0319%	79.1385%	77.8039%	77.0824%	0.0000%	84.7882%
Fold_9	95.8740%	80.6413%	78.8894%	78.5426%	76.7306%	88.6100%
Fold_10	93.8367%	77.3480%	77.6518%	74.2460%	71.8530%	86.2453%
Macro_total	94.8519% (+/- 0.6616%)	78.8865% (+/- 2.1525%)	76.5456% (+/- 2.8568%)	75.9084% (+/- 2.3080%)	51.8974% (+/- 34.0581%)	86.4753% (+/- 2.1484%)
