MajorityVotingCombiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	95.7429%	87.2207%	0.8722%	86.8105%	86.3428%	93.1211%
Fold_2	96.0840%	86.2393%	0.8624%	84.9584%	85.5781%	92.8341%
Fold_3	96.6759%	87.7156%	0.8772%	87.7024%	87.5761%	93.7956%
Fold_4	95.6572%	86.2530%	0.8625%	85.1319%	85.4204%	92.7378%
Fold_5	95.5114%	83.1093%	0.8311%	83.0073%	85.3979%	92.7261%
Fold_6	96.0363%	86.0481%	0.8605%	84.9468%	84.6986%	92.3925%
Fold_7	94.9012%	83.7002%	0.8370%	83.8958%	85.0590%	92.5255%
Fold_8	96.0023%	82.5314%	0.8253%	82.6053%	84.2669%	92.1948%
Fold_9	96.9641%	88.1052%	0.8811%	86.0801%	85.5220%	92.8663%
Fold_10	94.9378%	84.5686%	0.8457%	83.8417%	85.5035%	92.7360%
Macro_total	95.8513% (+/- 0.6270%)	85.5491% (+/- 1.8623%)	0.8555% (+/- 0.0186%)	84.8980% (+/- 1.5470%)	85.5365% (+/- 0.8595%)	92.7930% (+/- 0.4148%)
