NB_Trainable_Combiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	85.4860%	79.2990%	69.8089%	65.1816%	70.3726%	86.6487%
Fold_2	89.6139%	83.6031%	71.2184%	68.2662%	76.1911%	89.4826%
Fold_3	86.7928%	80.0722%	67.7676%	67.5584%	72.9453%	87.4777%
Fold_4	83.5216%	71.5484%	61.6746%	56.9279%	0.0000%	79.2461%
Fold_5	88.3873%	79.5396%	73.1599%	68.9478%	0.0000%	84.5536%
Fold_6	91.6738%	80.2678%	72.2517%	69.6661%	0.0000%	84.9325%
Fold_7	92.4140%	80.1727%	70.1029%	71.4787%	0.0000%	85.6538%
Fold_8	87.6299%	85.7522%	64.1343%	65.5711%	77.5175%	90.4795%
Fold_9	88.4624%	83.6730%	72.0407%	69.8216%	73.4001%	89.0988%
Fold_10	92.2400%	81.3567%	66.1152%	67.6827%	71.7798%	87.9736%
Macro_total	88.6222% (+/- 2.7933%)	80.5285% (+/- 3.6173%)	68.8274% (+/- 3.6166%)	67.1102% (+/- 3.8468%)	44.2206% (+/- 36.1561%)	86.5547% (+/- 3.0690%)
