NB_Trainable_Combiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	85.5986%	69.5370%	0.6954%	67.5314%	74.2434%	88.3873%
Fold_2	89.6721%	71.1498%	0.7115%	67.5976%	73.6486%	88.3036%
Fold_3	86.8449%	67.7378%	0.6774%	67.2164%	74.7560%	88.8153%
Fold_4	83.5810%	68.4499%	0.6845%	63.8102%	75.7978%	89.6353%
Fold_5	88.3238%	72.5262%	0.7253%	68.1352%	77.1025%	90.1697%
Fold_6	91.6668%	72.8873%	0.7289%	69.1242%	75.8648%	89.8971%
Fold_7	92.3643%	70.6141%	0.7061%	72.0106%	82.9868%	91.5390%
Fold_8	87.4655%	63.6858%	0.6369%	65.0653%	74.4875%	88.9112%
Fold_9	88.3529%	73.7437%	0.7374%	70.4128%	77.3401%	90.3356%
Fold_10	92.2798%	68.0018%	0.6800%	68.7379%	74.7323%	88.8993%
Macro_total	88.6150% (+/- 2.7743%)	69.8333% (+/- 2.8592%)	0.6983% (+/- 0.0286%)	67.9642% (+/- 2.2557%)	76.0960% (+/- 2.5661%)	89.4893% (+/- 0.9656%)
