Recall_Combiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	95.9451%	74.6394%	85.6580%	77.8077%	0.0000%	81.8431%
Fold_2	95.5434%	72.1151%	79.6747%	71.6976%	0.0000%	77.1930%
Fold_3	95.6200%	69.5767%	76.8688%	72.2107%	0.0000%	76.7442%
Fold_4	93.7970%	79.7537%	91.0553%	82.8718%	76.3513%	88.1201%
Fold_5	93.8828%	73.1550%	85.5871%	73.0640%	0.0000%	79.6470%
Fold_6	95.2902%	71.2241%	81.8340%	73.5523%	0.0000%	79.3657%
Fold_7	95.8149%	72.4175%	80.9643%	74.5154%	0.0000%	80.2631%
Fold_8	93.5337%	74.1854%	83.5266%	77.0227%	0.0000%	81.5774%
Fold_9	96.4083%	75.6850%	84.9242%	78.4748%	0.0000%	82.8780%
Fold_10	96.1395%	73.4715%	83.8739%	74.1495%	0.0000%	79.6512%
Macro_total	95.1975% (+/- 1.0029%)	73.6224% (+/- 2.6322%)	83.3857% (+/- 3.6874%)	75.5366% (+/- 3.2958%)	7.6351% (+/- 22.9054%)	80.7283% (+/- 3.0659%)
