Recall_Combiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	95.8298%	91.3132%	0.9131%	77.6374%	62.5886%	82.9266%
Fold_2	95.6039%	82.7472%	0.8275%	73.7349%	0.0000%	80.4774%
Fold_3	95.6751%	83.4546%	0.8345%	74.6298%	0.0000%	79.8772%
Fold_4	93.7960%	77.8681%	0.7787%	74.0972%	0.0000%	78.6932%
Fold_5	93.9634%	92.5476%	0.9255%	73.4334%	55.0084%	80.9133%
Fold_6	95.4085%	88.1225%	0.8812%	75.3137%	62.1988%	81.9312%
Fold_7	95.5947%	87.9119%	0.8791%	73.9170%	58.1862%	80.9465%
Fold_8	93.6550%	86.8015%	0.8680%	74.4255%	60.7916%	82.3650%
Fold_9	96.2772%	89.0095%	0.8901%	79.6710%	68.1358%	85.0122%
Fold_10	96.1175%	89.2160%	0.8922%	74.7143%	51.5666%	80.6404%
Macro_total	95.1921% (+/- 0.9420%)	86.8992% (+/- 4.1762%)	0.8690% (+/- 0.0418%)	75.1574% (+/- 1.8766%)	41.8476% (+/- 27.7175%)	81.3783% (+/- 1.6764%)
