SoftCombiner_10Fold	c=0.000000	c=0.100000	c=0.200000	c=0.300000	c=0.400000	c=0.500000	c=0.600000	c=0.700000	c=0.800000	c=0.900000	
Fold_1_filtered_accuracy	92.9539	92.9539	92.9539	92.9581	95.2746	96.9274	98.1253	97.4253	98.0849	98.8377
Fold_1_filtered_F-measure	82.1753	82.1753	82.1753	82.1804	86.1128	89.5901	91.2014	92.9413	89.8264	98.2320
Fold_1_filtered_g-mean	81.6617	81.6617	81.6617	81.6625	84.9199	87.9594	89.0249	91.8225	94.4128	97.8364
Fold_1_filtered_macro_g-mean	90.9633	90.9633	90.9633	90.9639	92.7558	94.3850	95.1353	96.2519	90.8348	98.9385
Fold_1_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9938	96.9182	93.8426	79.1537	38.0375	36.2943	34.4043
Fold_2_filtered_accuracy	95.8449	95.8449	95.8449	95.8449	96.7540	97.5802	98.5326	97.9281	98.1562	98.5833
Fold_2_filtered_F-measure	84.3886	84.3886	84.3886	84.3886	86.5092	88.1662	92.2935	92.4798	95.2432	97.5706
Fold_2_filtered_g-mean	83.2180	83.2180	83.2180	83.2180	83.5129	86.0817	92.2336	90.5106	94.7341	97.2825
Fold_2_filtered_macro_g-mean	91.8401	91.8401	91.8401	91.8401	92.0505	93.4983	96.6357	95.7022	97.4878	98.6898
Fold_2_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	98.8425	93.9251	82.5018	37.3942	36.4288	35.3932
Fold_3_filtered_accuracy	95.5169	95.5169	95.5169	95.5239	96.4527	97.4030	98.1479	97.5281	98.1478	98.8769
Fold_3_filtered_F-measure	78.4889	78.4889	78.4889	78.4967	80.6958	88.9853	90.0855	91.5340	92.3107	98.2927
Fold_3_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	86.4512	88.1236	91.7767	93.5512	97.7253
Fold_3_filtered_macro_g-mean	84.9091	84.9091	84.9091	84.9106	85.8858	93.6393	94.6987	96.1953	96.9539	98.8724
Fold_3_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9813	97.6272	93.8908	84.2576	39.3061	36.8537	33.5187
Fold_4_filtered_accuracy	93.4627	93.4627	93.4627	93.4831	95.7466	97.0753	98.2233	97.6984	98.1896	98.5379
Fold_4_filtered_F-measure	74.4628	74.4628	74.4628	74.5016	81.1586	89.4635	92.2876	90.7173	93.5327	98.1873
Fold_4_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	87.1297	91.7818	91.6551	95.4243	97.2859
Fold_4_filtered_macro_g-mean	85.1092	85.1092	85.1092	85.1122	86.5585	93.9351	96.1946	95.9927	97.7977	98.6891
Fold_4_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9781	97.2492	94.4812	76.0532	38.5491	36.5840	34.1894
Fold_5_filtered_accuracy	95.8620	95.8620	95.8620	95.8620	96.6744	97.2987	98.3667	97.6981	98.2040	98.8153
Fold_5_filtered_F-measure	81.9346	81.9346	81.9346	81.9346	85.5496	88.9220	91.0447	88.8561	88.2399	88.9681
Fold_5_filtered_g-mean	82.4537	82.4537	82.4537	82.4537	83.6662	89.2201	92.6835	93.0341	92.5668	93.8979
Fold_5_filtered_macro_g-mean	91.7207	91.7207	91.7207	91.7207	92.4072	95.2031	96.5660	96.7148	89.6146	90.1794
Fold_5_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	98.7831	97.0351	87.9889	38.2061	36.0082	33.7556
Fold_6_filtered_accuracy	96.1525	96.1525	96.1525	96.2124	96.4194	97.3852	98.1457	97.2451	98.1211	98.7011
Fold_6_filtered_F-measure	79.1555	79.1555	79.1555	79.2880	80.9994	83.1296	90.5443	88.8888	90.2766	91.0522
Fold_6_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.8683	86.2126	89.0901	93.0002
Fold_6_filtered_macro_g-mean	86.1094	86.1094	86.1094	86.0885	86.3319	88.4085	95.5704	94.2665	95.3217	96.7316
Fold_6_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9328	99.5157	95.4073	85.3409	39.9766	36.4149	33.9139
Fold_7_filtered_accuracy	95.3619	95.3619	95.3619	95.3634	96.6421	97.0476	98.0745	97.7745	98.1659	98.7967
Fold_7_filtered_F-measure	78.4746	78.4746	78.4746	78.4789	81.9510	83.0875	86.0240	86.5216	90.7554	90.5279
Fold_7_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.7115	96.7958	97.5403
Fold_7_filtered_macro_g-mean	86.9999	86.9999	86.9999	87.0051	87.6702	88.5741	90.1680	90.1427	91.9038	91.7412
Fold_7_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9984	97.7442	94.9260	84.2969	37.6939	36.7097	34.4024
Fold_8_filtered_accuracy	96.1318	96.1318	96.1318	96.1359	96.7295	97.5368	98.1908	98.0292	98.2691	98.8286
Fold_8_filtered_F-measure	81.0271	81.0271	81.0271	81.0286	83.3428	86.3544	87.8588	89.9052	88.7574	94.0480
Fold_8_filtered_g-mean	77.8621	77.8621	77.8621	77.8638	78.5675	84.8210	87.2779	85.4380	82.8155	93.0282
Fold_8_filtered_macro_g-mean	89.1995	89.1995	89.1995	89.2007	89.6414	92.9309	94.2747	94.4222	93.7446	96.8077
Fold_8_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9859	98.3565	95.5803	85.4005	37.4963	36.5542	34.4077
Fold_9_filtered_accuracy	94.8006	94.8006	94.8006	94.8416	96.1639	97.4226	98.3155	97.8840	98.3160	98.7930
Fold_9_filtered_F-measure	78.4811	78.4811	78.4811	78.5457	84.3066	86.8937	89.6302	87.0015	90.7698	97.9294
Fold_9_filtered_g-mean	77.9078	77.9078	77.9078	77.9210	82.4179	90.1444	94.1651	89.5813	89.8302	97.4523
Fold_9_filtered_macro_g-mean	89.2656	89.2656	89.2656	89.2755	91.6969	95.3149	97.2215	95.0956	95.2082	98.7576
Fold_9_filtered_classified_ratio	100.0000	100.0000	100.0000	99.9156	97.9065	93.8320	85.4174	38.3186	37.0172	35.4659
Fold_10_filtered_accuracy	95.2053	95.2053	95.2053	95.2053	96.2044	97.6043	98.2953	97.8949	98.2549	98.8601
Fold_10_filtered_F-measure	76.4434	76.4434	76.4434	76.4434	78.6342	83.0793	85.6106	80.8105	87.4004	97.8640
Fold_10_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	91.4539	84.2853	86.2474	97.4163
Fold_10_filtered_macro_g-mean	83.7603	83.7603	83.7603	83.7603	84.0998	87.1371	89.8492	87.6700	94.5069	98.7467
Fold_10_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	97.8800	94.8178	86.3330	37.3297	36.5267	34.6754
Macro_total_filtered_accuracy	95.1292	1.0454	95.1292	1.0454	95.1292	1.0454	95.1431	1.0467	96.3062	0.4550	97.3281	0.2248	98.2418	0.1308	97.7106	0.2342	98.1909	0.0677	98.7631	0.1113
Macro_total_filtered_F-measure	79.5032	2.7796	79.5032	2.7796	79.5032	2.7796	79.5287	2.7689	82.9260	2.5127	86.7672	2.5946	89.6581	2.2795	88.9656	3.3920	90.7112	2.3005	95.2672	3.5637
Average_total_filtered_g-mean	40.3103	40.3428	40.3103	40.3428	40.3103	40.3428	40.3119	40.3442	41.3084	41.3370	61.1808	40.0778	81.7613	27.3289	89.7028	3.0519	91.5468	4.2346	96.2465	1.9436
Average_total_filtered_macro_g-mean	87.9877	2.8438	87.9877	2.8438	87.9877	2.8438	87.9878	2.8451	88.9098	3.0196	92.3026	2.8956	94.6314	2.4692	94.2454	2.8271	94.3374	2.6711	96.8154	3.0505
Macro_total_filtered_classified_ratio	100.0000	0.0000	100.0000	0.0000	100.0000	0.0000	99.9786	0.0285	98.0823	0.7511	94.7738	0.9762	83.6744	3.3926	38.2308	0.8180	36.5392	0.2699	34.4126	0.6058
