SoftCombiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	92.9539%	84.5305%	84.8059%	82.1753%	81.6617%	90.9633%
Fold_2	95.8449%	85.8746%	87.3352%	84.3886%	83.2180%	91.8401%
Fold_3	95.5169%	78.7748%	80.1999%	78.4889%	0.0000%	84.9091%
Fold_4	93.4627%	79.5671%	72.0221%	74.4628%	0.0000%	85.1092%
Fold_5	95.8620%	86.0380%	81.7079%	81.9346%	82.4537%	91.7207%
Fold_6	96.1525%	80.5196%	78.8519%	79.1555%	0.0000%	86.1094%
Fold_7	95.3619%	82.3683%	77.7614%	78.4746%	0.0000%	86.9999%
Fold_8	96.1318%	81.5913%	83.5670%	81.0271%	77.8621%	89.1995%
Fold_9	94.8006%	81.9068%	78.0796%	78.4811%	77.9078%	89.2656%
Fold_10	95.2053%	77.1195%	79.7496%	76.4434%	0.0000%	83.7603%
Macro_total	95.1292% (+/- 1.0454%)	81.8291% (+/- 2.8297%)	80.4080% (+/- 4.0576%)	79.5032% (+/- 2.7796%)	40.3103% (+/- 40.3428%)	87.9877% (+/- 2.8438%)
