SoftCombiner_10Fold	K=1	K=3	K=5	K=7	K=10	
Fold_1	92.9539	99.5689	99.9266	99.9953	99.9984
Fold_2	95.8434	99.8047	99.9328	99.9906	99.9984
Fold_3	95.5200	99.6142	99.9125	99.9813	99.9938
Fold_4	93.4627	99.5064	99.9032	99.9891	99.9969
Fold_5	95.8635	99.4986	99.9094	99.9922	100.0000
Fold_6	96.1540	99.6095	99.9235	99.9922	99.9953
Fold_7	95.3713	99.5126	99.9500	99.9844	99.9984
Fold_8	96.1365	99.5813	99.9422	99.9813	99.9922
Fold_9	94.8069	99.6641	99.9094	99.9906	99.9984
Fold_10	95.2068	99.5141	99.9281	99.9844	99.9922
Macro_total	95.1319	1.0462	99.5874	0.0895	99.9238	0.0145	99.9881	0.0047	99.9964	0.0027
