SoftCombiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	71.8313%	53.0065%	0.5301%	53.5494%	71.6779%	86.0515%
Fold_2	72.8109%	55.7230%	0.5572%	55.6315%	75.9788%	87.7168%
Fold_3	72.9935%	53.5418%	0.5354%	54.8759%	77.2758%	88.1627%
Fold_4	75.7395%	54.6785%	0.5468%	55.5061%	74.8349%	87.6098%
Fold_5	79.4533%	56.3504%	0.5635%	57.9935%	79.0763%	89.0301%
Fold_6	75.4815%	54.6691%	0.5467%	56.5766%	78.7752%	88.6845%
Fold_7	73.7934%	54.7615%	0.5476%	55.6217%	77.3481%	88.1218%
Fold_8	68.8253%	54.1150%	0.5412%	54.2962%	77.0339%	87.9315%
Fold_9	74.5570%	53.1624%	0.5316%	54.9976%	77.0794%	88.0658%
Fold_10	79.1091%	55.9544%	0.5595%	57.9590%	81.6531%	90.2662%
Macro_total	74.4595% (+/- 3.0530%)	54.5963% (+/- 1.1026%)	0.5460% (+/- 0.0110%)	55.7007% (+/- 1.3765%)	77.0733% (+/- 2.5163%)	88.1641% (+/- 1.0235%)
