WeightedMajorityVotingCombiner_10Fold	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	96.5121%	78.0205%	86.2008%	80.6464%	71.5299%	86.4947%
Fold_2	96.4572%	78.9190%	84.7967%	81.3148%	0.0000%	84.8870%
Fold_3	96.6572%	74.7651%	85.0455%	77.8171%	0.0000%	81.8625%
Fold_4	96.4478%	72.0049%	84.1890%	76.2584%	0.0000%	80.4073%
Fold_5	96.3947%	78.3599%	82.2023%	79.5413%	0.0000%	84.5766%
Fold_6	96.4430%	73.8639%	85.2529%	77.0372%	0.0000%	81.2244%
Fold_7	96.2711%	80.2547%	86.5432%	82.2266%	76.6906%	88.4761%
Fold_8	96.5395%	78.8508%	88.6818%	82.3240%	73.7891%	87.3073%
Fold_9	96.3942%	76.9588%	87.2757%	80.1641%	71.0595%	86.0014%
Fold_10	96.4536%	73.7128%	84.1954%	77.0314%	0.0000%	81.2663%
Macro_total	96.4570% (+/- 0.0962%)	76.5710% (+/- 2.6333%)	85.4383% (+/- 1.7285%)	79.4361% (+/- 2.1429%)	29.3069% (+/- 35.9212%)	84.2504% (+/- 2.7267%)
