WeightedMajorityVotingCombiner_10Fold	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	96.4460%	85.4317%	0.8543%	79.8282%	70.4742%	85.7848%
Fold_2	96.4217%	88.5560%	0.8856%	80.9458%	70.8184%	85.9382%
Fold_3	96.5459%	85.2035%	0.8520%	79.0883%	0.0000%	82.7995%
Fold_4	96.5008%	84.9196%	0.8492%	80.9325%	72.5013%	86.8403%
Fold_5	96.4402%	89.4223%	0.8942%	80.0017%	68.8261%	85.3546%
Fold_6	96.4727%	83.9033%	0.8390%	78.8461%	67.3698%	84.8031%
Fold_7	96.2880%	87.8352%	0.8784%	79.4072%	68.4341%	84.8792%
Fold_8	96.4461%	83.7137%	0.8371%	79.4082%	69.9815%	85.7434%
Fold_9	96.4610%	88.7652%	0.8877%	81.2111%	70.1908%	86.0876%
Fold_10	96.4578%	87.3903%	0.8739%	80.1440%	69.3775%	85.5584%
Macro_total	96.4480% (+/- 0.0629%)	86.5141% (+/- 2.0074%)	0.8651% (+/- 0.0201%)	79.9813% (+/- 0.7837%)	62.7974% (+/- 20.9751%)	85.3789% (+/- 1.0255%)
