decisionTree	c=0.000000	c=0.100000	c=0.200000	c=0.300000	c=0.400000	c=0.500000	c=0.600000	c=0.700000	c=0.800000	c=0.900000	
Fold_1_filtered_accuracy	93.9863	93.9863	93.9863	93.9863	93.9878	94.0064	96.0154	96.0722	96.4015	96.8057
Fold_1_filtered_F-measure	75.6897	75.6897	75.6897	75.6897	75.6905	75.7319	77.7710	77.7943	78.9933	80.4154
Fold_1_filtered_g-mean	68.3894	68.3894	68.3894	68.3894	68.3905	68.4707	72.5199	72.6199	74.1881	76.1610
Fold_1_filtered_macro_g-mean	85.2092	85.2092	85.2092	85.2092	85.2100	85.2607	86.9347	86.9614	87.6905	88.9153
Fold_1_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9984	99.9703	94.7876	94.6065	93.2819	89.9736
Fold_2_filtered_accuracy	94.3141	94.3141	94.3141	94.3141	94.3200	94.3717	94.4954	94.5049	95.7160	98.0400
Fold_2_filtered_F-measure	76.3329	76.3329	76.3329	76.3329	76.3774	76.4112	77.9692	78.3166	80.6180	83.7870
Fold_2_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fold_2_filtered_macro_g-mean	81.0561	81.0561	81.0561	81.0561	81.0696	81.0996	82.2087	82.5910	84.6469	87.4701
Fold_2_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9938	99.9125	99.6329	99.5501	93.7455	77.9437
Fold_3_filtered_accuracy	94.2626	94.2626	94.2626	94.2626	94.4335	94.4505	94.4823	95.0474	95.5851	96.7188
Fold_3_filtered_F-measure	77.2246	77.2246	77.2246	77.2246	78.3526	78.3408	78.5305	79.3549	79.8577	81.2128
Fold_3_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fold_3_filtered_macro_g-mean	81.6971	81.6971	81.6971	81.6971	82.1073	82.1061	82.2062	83.1422	83.4552	84.5473
Fold_3_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.7032	99.6704	99.5939	97.7116	95.1061	87.8331
Fold_4_filtered_accuracy	94.1859	94.1859	94.1859	94.1859	94.1859	94.2057	94.9018	96.0716	96.8528	97.5923
