decisionTree	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	93.9863%	76.5091%	77.4592%	75.6897%	68.3894%	85.2092%
Fold_2	94.3141%	73.4810%	81.5329%	76.3329%	0.0000%	81.0561%
Fold_3	94.2626%	76.5013%	81.0656%	77.2246%	0.0000%	81.6971%
Fold_4	94.1859%	71.5573%	80.8403%	74.7741%	0.0000%	79.9068%
Fold_5	95.7167%	68.0031%	88.5110%	71.1827%	0.0000%	75.0907%
Fold_6	93.8655%	78.5065%	86.2551%	81.2076%	72.8600%	86.9248%
Fold_7	94.9495%	77.7943%	80.5514%	77.8247%	72.3609%	86.5330%
Fold_8	94.6211%	71.3336%	93.5990%	74.7453%	55.2916%	80.5870%
Fold_9	88.0968%	78.1657%	81.4154%	77.7697%	73.0186%	86.6049%
Fold_10	94.8131%	78.0145%	85.9135%	80.4152%	72.7232%	86.7733%
Macro_total	93.8812% (+/- 1.9956%)	74.9866% (+/- 3.4684%)	83.7143% (+/- 4.5437%)	76.7167% (+/- 2.7555%)	41.4644% (+/- 34.2146%)	83.0383% (+/- 3.7869%)
