decisionTree	K=1	K=3	K=5	K=7	K=10	
Fold_1	93.9863	99.7844	99.8953	99.9188	99.9281
Fold_2	94.3141	99.6642	99.9094	99.9453	99.9563
Fold_3	94.2626	99.7313	99.9235	99.9672	99.9766
Fold_4	94.1859	99.7329	99.8766	99.9016	99.9188
Fold_5	95.7167	99.8907	99.9672	99.9750	99.9844
Fold_6	93.8655	99.7204	99.8828	99.9031	99.9125
Fold_7	94.9495	99.8094	99.9063	99.9328	99.9469
Fold_8	94.6211	99.7969	99.9391	99.9750	99.9813
Fold_9	88.0968	99.0220	99.7719	99.8797	99.9203
Fold_10	94.8131	99.7313	99.9219	99.9563	99.9625
Macro_total	93.8812	1.9956	99.6883	0.2298	99.8994	0.0495	99.9355	0.0320	99.9488	0.0261
