decisionTree	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	95.3550%	95.1132%	0.9511%	88.4032%	82.2962%	91.2924%
Fold_2	95.5274%	95.8966%	0.9590%	87.0912%	79.2977%	89.8300%
Fold_3	95.2835%	94.3751%	0.9438%	85.3111%	75.2847%	89.5576%
Fold_4	95.6260%	97.1063%	0.9711%	87.4905%	79.6493%	89.6745%
Fold_5	97.0187%	98.9865%	0.9899%	80.6059%	59.5106%	83.4976%
Fold_6	95.3089%	95.9821%	0.9598%	89.5558%	83.6820%	91.9046%
Fold_7	96.3423%	96.3575%	0.9636%	89.7614%	83.9901%	92.1398%
Fold_8	95.9923%	98.2799%	0.9828%	79.7772%	59.3787%	82.8473%
Fold_9	89.6115%	95.1408%	0.9514%	86.1387%	78.7583%	89.0009%
Fold_10	95.9829%	94.6480%	0.9465%	86.6545%	79.3807%	89.8761%
Macro_total	95.2048% (+/- 1.9343%)	96.1886% (+/- 1.4532%)	0.9619% (+/- 0.0145%)	86.0789% (+/- 3.2351%)	76.1228% (+/- 8.6848%)	88.9621% (+/- 3.0642%)
