gaussianNB	c=0.000000	c=0.100000	c=0.200000	c=0.300000	c=0.400000	c=0.500000	c=0.600000	c=0.700000	c=0.800000	c=0.900000	
Fold_1_filtered_accuracy	37.8142	37.8142	37.8142	37.8142	37.8147	37.8277	38.2482	39.0660	41.4755	43.8875
Fold_1_filtered_F-measure	32.2577	32.2577	32.2577	32.2577	32.2580	32.2697	32.5069	32.9034	33.5331	34.4386
Fold_1_filtered_g-mean	49.3079	49.3079	49.3079	49.3079	49.3087	49.3152	49.3318	49.6033	49.9317	49.2610
Fold_1_filtered_macro_g-mean	75.7800	75.7800	75.7800	75.7800	75.7807	75.7852	75.7824	75.9305	76.3353	76.2698
Fold_1_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9984	99.9641	97.6726	95.2281	86.7247	79.6520
Fold_2_filtered_accuracy	37.8519	37.8519	37.8519	37.8519	37.8578	37.8631	38.1479	39.1574	42.1281	44.6273
Fold_2_filtered_F-measure	32.2696	32.2696	32.2696	32.2696	32.2710	32.2837	32.5107	32.8779	33.7708	34.7103
Fold_2_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fold_2_filtered_macro_g-mean	66.0921	66.0921	66.0921	66.0921	66.0924	66.0927	66.1306	66.2535	66.8413	66.9660
Fold_2_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9844	99.9703	98.9987	94.9186	87.5394	80.3758
Fold_3_filtered_accuracy	38.0690	38.0690	38.0690	38.0690	38.0688	38.1451	38.9908	39.4518	42.4380	45.8802
Fold_3_filtered_F-measure	31.9825	31.9825	31.9825	31.9825	31.9843	32.0257	32.3873	32.6715	33.6199	34.5630
Fold_3_filtered_g-mean	46.9623	46.9623	46.9623	46.9623	46.9633	47.0444	45.8420	45.3951	46.9443	46.6992
Fold_3_filtered_macro_g-mean	73.1891	73.1891	73.1891	73.1891	73.1897	73.2468	73.0384	72.9678	74.2277	74.0449
Fold_3_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9922	99.7922	97.5476	95.0498	88.2252	81.3303
Fold_4_filtered_accuracy	37.9134	37.9134	37.9134	37.9134	37.9151	37.9234	38.1500	38.8436	41.3652	43.0728
Fold_4_filtered_F-measure	31.8846	31.8846	31.8846	31.8846	31.8854	31.8963	32.0404	32.4361	33.1037	33.8234
Fold_4_filtered_g-mean	47.6979	47.6979	47.6979	47.6979	47.6995	47.7028	47.6145	47.9949	48.3057	48.3536
Fold_4_filtered_macro_g-mean	75.1669	75.1669	75.1669	75.1669	75.1683	75.1703	75.1226	75.3091	75.6986	75.6364
Fold_4_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9953	99.9734	97.1195	94.7983	85.6585	79.4555
Fold_5_filtered_accuracy	37.2891	37.2891	37.2891	37.2891	37.2949	37.3083	37.6799	38.6356	40.4690	43.5459
Fold_5_filtered_F-measure	25.3484	25.3484	25.3484	25.3484	25.3497	25.3620	25.5950	26.0043	26.5235	27.4122
Fold_5_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fold_5_filtered_macro_g-mean	62.2559	62.2559	62.2559	62.2559	62.2561	62.2615	62.2977	62.5192	62.5087	61.8788
Fold_5_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9844	99.9485	98.7722	96.0135	88.7341	80.6455
Fold_6_filtered_accuracy	37.1069	37.1069	37.1069	37.1069	37.1087	37.1135	37.8486	39.8841	40.3346	40.7837
