gaussianNB	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	37.8142%	67.4374%	37.4114%	32.2577%	49.3079%	75.7800%
Fold_2	37.8519%	57.0256%	37.6106%	32.2696%	0.0000%	66.0921%
Fold_3	38.0690%	62.7076%	37.1632%	31.9825%	46.9623%	73.1891%
Fold_4	37.9134%	66.6377%	37.0319%	31.8846%	47.6979%	75.1669%
Fold_5	37.2891%	53.7039%	30.8686%	25.3484%	0.0000%	62.2559%
Fold_6	37.1069%	55.4962%	30.1187%	24.2524%	0.0000%	66.0284%
Fold_7	37.9251%	59.6648%	37.5691%	32.2810%	0.0000%	68.9139%
Fold_8	37.2510%	63.8516%	37.5927%	31.9990%	47.1346%	73.7297%
Fold_9	37.1891%	57.3218%	37.3371%	31.8327%	0.0000%	66.6487%
Fold_10	38.3108%	63.2173%	37.2334%	32.1536%	45.6454%	73.2154%
Macro_total	37.6720% (+/- 0.4021%)	60.7064% (+/- 4.5051%)	35.9937% (+/- 2.7610%)	30.6261% (+/- 2.9271%)	23.6748% (+/- 23.6897%)	70.1020% (+/- 4.4480%)
