gaussianNB	K=1	K=3	K=5	K=7	K=10	
Fold_1	37.8142	64.3554	70.9892	79.2771	91.5293
Fold_2	37.8519	64.1304	71.4330	79.6745	91.9366
Fold_3	38.0690	64.1242	71.2362	79.7041	91.4727
Fold_4	37.9134	64.0502	70.7562	79.4523	91.7038
Fold_5	37.2891	64.0231	70.8292	79.6317	91.7474
Fold_6	37.1069	64.5567	71.0646	79.9078	91.8082
Fold_7	37.9251	63.9698	71.8807	80.0087	91.7470
Fold_8	37.2510	64.1925	70.8104	79.4498	91.7871
Fold_9	37.1891	64.3670	71.8910	79.4588	91.7417
Fold_10	38.3108	64.2138	71.1489	79.4291	91.5292
Macro_total	37.6720	0.4021	64.1983	0.1723	71.2039	0.3934	79.5994	0.2184	91.7003	0.1384
