gaussianNB	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	37.8562%	37.4908%	0.3749%	32.3247%	47.3884%	73.3782%
Fold_2	37.6684%	37.5827%	0.3758%	32.1859%	46.7371%	73.9520%
Fold_3	37.8760%	37.2132%	0.3721%	31.8529%	44.9441%	73.0466%
Fold_4	37.9091%	37.2786%	0.3728%	32.1300%	46.6265%	73.2059%
Fold_5	37.2236%	37.3614%	0.3736%	31.8469%	46.4837%	73.3554%
Fold_6	37.2377%	36.9795%	0.3698%	31.1374%	46.5212%	73.4194%
Fold_7	38.0131%	37.5907%	0.3759%	32.4344%	48.4066%	73.9066%
Fold_8	37.1747%	37.4388%	0.3744%	31.8563%	46.4635%	73.3206%
Fold_9	37.3227%	37.4355%	0.3744%	31.9722%	47.0731%	73.6257%
Fold_10	38.3766%	37.2459%	0.3725%	32.1826%	47.0563%	73.5128%
Macro_total	37.6658% (+/- 0.3877%)	37.3617% (+/- 0.1783%)	0.3736% (+/- 0.0018%)	31.9923% (+/- 0.3448%)	46.7700% (+/- 0.8263%)	73.4723% (+/- 0.2728%)
