taylor2016appscanner_RF	c=0.000000	c=0.100000	c=0.200000	c=0.300000	c=0.400000	c=0.500000	c=0.600000	c=0.700000	c=0.800000	c=0.900000	
Fold_1_filtered_accuracy	96.5371	96.5371	96.5371	96.5371	96.5520	96.9632	97.8976	98.3458	98.7094	99.5514
Fold_1_filtered_F-measure	80.7519	80.7519	80.7519	80.7519	80.8106	82.1476	85.2115	88.2872	87.4647	98.0283
Fold_1_filtered_g-mean	68.1643	68.1643	68.1643	68.1643	68.2429	70.0675	73.5123	78.1323	0.0000	96.8033
Fold_1_filtered_macro_g-mean	85.1947	85.1947	85.1947	85.1947	85.2503	86.3670	88.7276	91.4562	89.2259	98.5028
Fold_1_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9797	99.2690	96.5824	93.7645	89.6815	78.6836
Fold_2_filtered_accuracy	96.3979	96.3979	96.3979	96.3979	96.4307	96.8670	97.8036	98.3662	98.6855	99.5104
Fold_2_filtered_F-measure	79.7070	79.7070	79.7070	79.7070	79.8423	81.8366	81.8859	91.2641	93.1621	99.4324
Fold_2_filtered_g-mean	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	76.9902	84.5179	88.4888	99.8122
Fold_2_filtered_macro_g-mean	83.2271	83.2271	83.2271	83.2271	83.3334	84.9832	84.8720	93.5064	94.8604	99.8842
Fold_2_filtered_classified_ratio	100.0000	100.0000	100.0000	100.0000	99.9578	99.1690	96.1511	92.9317	89.1265	77.8469
Fold_3_filtered_accuracy	96.3338	96.3338	96.3338	96.3338	96.3608	97.0532	97.7617	98.3495	98.6514	99.5724
Fold_3_filtered_F-measure	85.7077	85.7077	85.7077	85.7077	85.7842	87.1024	87.5087	90.1996	86.3136	99.4175
Fold_3_filtered_g-mean	77.0088	77.0088	77.0088	77.0088	77.1284	77.0379	75.9292	79.8088	0.0000	99.6245
Fold_3_filtered_macro_g-mean	89.3372	89.3372	89.3372	89.3372	89.4134	90.3353	90.6065	92.7490	88.2926	99.7940
