taylor2016appscanner_RF	Accuracy	Macr_Recall	Macr_Precision	Macro_F-measure	G-mean	Macro_G-mean
Fold_1	96.5371%	76.5979%	92.3942%	80.7519%	68.1643%	85.1947%
Fold_2	96.3979%	76.8044%	85.2672%	79.7070%	0.0000%	83.2271%
Fold_3	96.3338%	82.4687%	91.7906%	85.7077%	77.0088%	89.3372%
Fold_4	96.4400%	78.9491%	92.1795%	83.1190%	71.8487%	86.9833%
Fold_5	96.4306%	77.8457%	86.5182%	80.9780%	0.0000%	84.1731%
Fold_6	96.4836%	77.9645%	87.5464%	80.9386%	0.0000%	84.0600%
Fold_7	96.5569%	79.1287%	85.4725%	81.3969%	0.0000%	84.6811%
Fold_8	96.5099%	72.1481%	77.9841%	73.9276%	0.0000%	77.3013%
Fold_9	96.4676%	80.2424%	92.1353%	84.3960%	74.9063%	88.1045%
Fold_10	96.5457%	80.1286%	86.4267%	82.3546%	0.0000%	85.5338%
Macro_total	96.4703% (+/- 0.0677%)	78.2278% (+/- 2.6239%)	87.7715% (+/- 4.3218%)	81.3277% (+/- 3.0143%)	29.1928% (+/- 35.8158%)	84.8596% (+/- 3.1079%)
