taylor2016appscanner_RF	K=1	K=3	K=5	K=7	K=10	
Fold_1	96.5371	99.9281	99.9688	99.9875	99.9953
Fold_2	96.3979	99.9547	99.9875	99.9922	100.0000
Fold_3	96.3338	99.9235	99.9672	99.9875	99.9969
Fold_4	96.4400	99.9516	99.9797	99.9938	99.9984
Fold_5	96.4306	99.9406	99.9703	99.9922	99.9953
Fold_6	96.4836	99.9281	99.9641	99.9859	99.9984
Fold_7	96.5569	99.9422	99.9781	99.9953	100.0000
Fold_8	96.5099	99.9359	99.9828	99.9922	99.9984
Fold_9	96.4676	99.9578	99.9797	99.9922	99.9984
Fold_10	96.5457	99.9688	99.9875	99.9922	99.9969
Macro_total	96.4703	0.0677	99.9431	0.0140	99.9766	0.0080	99.9911	0.0029	99.9978	0.0016
