taylor2016appscanner_RF	Training_Accuracy	Training_Macro_Recall	Training_Macro_Precision	Training_Macro_F-measure	Training_G-mean	Training_Macro_G-mean
Fold_1	97.6694%	97.8958%	0.9790%	90.5747%	84.1665%	92.2510%
Fold_2	97.6050%	97.9962%	0.9800%	90.6914%	84.2988%	92.3017%
Fold_3	97.4667%	97.7236%	0.9772%	89.7093%	82.7594%	91.6473%
Fold_4	97.5590%	97.8206%	0.9782%	90.2210%	83.6081%	91.9942%
Fold_5	97.6766%	97.7785%	0.9778%	89.9917%	83.2131%	91.8438%
Fold_6	97.5866%	97.8685%	0.9787%	90.3590%	83.8183%	92.1035%
Fold_7	97.6408%	98.0311%	0.9803%	90.3849%	83.7149%	92.0568%
Fold_8	97.5875%	97.7520%	0.9775%	90.0871%	83.4294%	91.9199%
Fold_9	97.6210%	97.8200%	0.9782%	89.8395%	82.9099%	91.7241%
Fold_10	97.5646%	97.9910%	0.9799%	90.7549%	84.4177%	92.3576%
Macro_total	97.5977% (+/- 0.0581%)	97.8677% (+/- 0.1029%)	0.9787% (+/- 0.0010%)	90.2614% (+/- 0.3375%)	83.6336% (+/- 0.5375%)	92.0200% (+/- 0.2287%)
